Dataset,Model,Accuracy,Precision,Recall,F1-score,Training Time Seconds,Inference Time Seconds,Model Size MB,Sparsity
NSL-KDD,Baseline CNN,0.7660574875798438,0.960185072446122,0.6145094677783839,0.7494060629098166,137.07227396965027,2.750227689743042,0.4888229370117187,
UNSW-NB15,Baseline CNN,0.9222885691310077,0.9610054335975998,0.9232870513905532,0.9417687330660944,43.73062086105347,14.66096544265747,0.5356979370117188,
NSL-KDD,Dynamic Quantized TFLite CNN,0.7661905606813343,0.9604237700925476,0.6145873918803085,0.7495367070563079,,0.5787954330444336,0.0463485717773437,
UNSW-NB15,Dynamic Quantized TFLite CNN,0.9222999754763574,0.9610382813930972,0.923270292690693,0.9417757872064002,,3.677337646484375,0.0502548217773437,
NSL-KDD,50% Magnitude Pruned CNN,0.7647711142654364,0.962644384369624,0.6104574144782982,0.7471269848838873,,2.601195335388184,0.183807373046875,0.5
UNSW-NB15,50% Magnitude Pruned CNN,0.9282426814036648,0.95466121545079,0.9391742988578946,0.946854434710618,,14.60485029220581,0.199432373046875,0.5
