Dataset,Best F1-score Model,Best F1-score (%),Smallest Model,Smallest Model Size MB,Fastest Inference Model,Fastest Inference Time Seconds
NSL-KDD,Dynamic Quantized TFLite CNN,74.95,Dynamic Quantized TFLite CNN,0.046,Dynamic Quantized TFLite CNN,0.579
UNSW-NB15,50% Magnitude Pruned CNN,94.69,Dynamic Quantized TFLite CNN,0.05,Dynamic Quantized TFLite CNN,3.677
